DateTime;Media Temperatura;Low Temperatura;High Temperatura;Media Umidità;Numero di insetti;Nuove catture (per evento)
30/07/2024 12:00;34,98;34,8;35,1;35,38;0;0
30/07/2024 13:00;35,08;34,8;35,3;33,89;0;0
30/07/2024 14:00;35,14;34,8;35,5;33,49;0;0
30/07/2024 15:00;34,4;33,9;34,8;35,22;0;0
30/07/2024 16:00;33,11;32,6;34;35,3;0;0
30/07/2024 17:00;32,18;31,5;32,7;34,67;0;0
30/07/2024 18:00;29,8;28,1;31,2;38,26;0;0
30/07/2024 19:00;27,23;26,6;27,8;41,87;0;0
30/07/2024 20:00;25,48;24,8;26,3;46,15;0;0
30/07/2024 21:00;23,97;23;24,8;54,17;0;0
30/07/2024 22:00;22,43;22,3;22,7;62,64;0;0
30/07/2024 23:00;22,35;22,1;22,7;64,17;0;0
31/07/2024 00:00;22,81;22,4;23,2;63,45;0;0
31/07/2024 01:00;21,67;21,2;22,2;67,49;0;0
31/07/2024 02:00;21,25;21,1;21,5;68,79;0;0
31/07/2024 03:00;20,71;20,5;20,9;71,13;0;0
31/07/2024 04:00;20,33;20,2;20,4;72,8;0;0
31/07/2024 05:00;21,31;20,3;22,1;71,2;0;0
31/07/2024 06:00;23,95;22,3;25,8;64,55;0;0
31/07/2024 07:00;28,23;26,2;30,3;52,47;0;0
31/07/2024 08:00;32,09;30,7;33,2;42,21;0;0
31/07/2024 09:00;33,77;33,1;34,6;37,65;0;0
31/07/2024 10:00;35,07;34,1;35,9;35,43;0;0
31/07/2024 11:00;36,74;36,1;37,6;32,78;0;0
31/07/2024 12:00;37,42;37,1;37,8;32,03;0;0
31/07/2024 13:00;38,14;37,8;38,4;31,02;0;0
31/07/2024 14:00;38,28;38;38,7;31,31;0;0
31/07/2024 15:00;38,25;38,1;38,5;31,28;0;0
31/07/2024 16:00;36,4;34,8;37,8;34,55;0;0
31/07/2024 17:00;33,72;32,7;34,5;40,01;0;0
31/07/2024 18:00;30,95;29,6;32,3;46,4;0;0
31/07/2024 19:00;28,25;27;29,3;53,02;0;0
31/07/2024 20:00;25,85;25,3;26,6;62,99;0;0
31/07/2024 21:00;24,44;23,9;25,1;68,2;0;0
31/07/2024 22:00;23,85;23,5;24,1;61,68;0;0
31/07/2024 23:00;22,93;22,6;23,6;60,97;0;0
